id,departement,circonscription,numPanneau,nomCandidat,prenomCandidat,civiliteCandidat,codeNuance,libelleNuance
3765,973,97302,5,RIMANE,Davy,M.,REG,Régionaliste
3766,974,97401,1,NAILLET,Philippe,M.,UG,Union de la gauche
3767,974,97401,2,LEBON,Gaëlle,Mme,REC,Reconquête !
3768,974,97401,3,MOREL,Jean Jacques,M.,RN,Rassemblement National
3769,974,97401,4,PONIN BALLOM,Gino,M.,DVD,Divers droite
3770,974,97401,5,MITRA,Nadine,Mme,DIV,Divers
3771,974,97401,6,VICTORIA,René-Paul,M.,LR,Les Républicains
3772,974,97401,7,SAWOO,Krisna,M.,DIV,Divers
3773,974,97401,8,TECHER,Paul,M.,EXG,Extrême gauche
3774,974,97401,9,SAUTRON,Ludovic,M.,ECO,Ecologistes
3775,974,97402,1,BEGUE,Christelle,Mme,RN,Rassemblement National
3776,974,97402,2,FALDON,Fabienne,Mme,DIV,Divers
3777,974,97402,3,MERA,Alix,M.,DSV,Droite souverainiste
3778,974,97402,4,ACTIF,Nelly,Mme,EXG,Extrême gauche
3779,974,97402,5,LEBON,Karine,Mme,UG,Union de la gauche
3780,974,97402,6,MOUTOUALLAGUIN,Claude,M.,REC,Reconquête !
3781,974,97402,7,FONTAINE,Erick,M.,DIV,Divers
3782,974,97402,8,MOREL,Jean-Yves,M.,DVD,Divers droite
3783,974,97403,1,RIVIERE,Joseph,M.,RN,Rassemblement National
3784,974,97403,2,HOAREAU,Didier,M.,EXG,Extrême gauche
3785,974,97403,3,CHAUSSALET,Alexis,M.,DVG,Divers gauche
3786,974,97403,4,THEINE,Jean-Eric,M.,DSV,Droite souverainiste
3787,974,97403,5,BENARD,Monique,Mme,DVD,Divers droite
3788,974,97403,6,LEGENTIL,Nicolas,M.,EXG,Extrême gauche
3789,974,97403,7,FONTAINE,Antoine,M.,REG,Régionaliste
3790,974,97403,8,BASSIRE,Nathalie,Mme,DVD,Divers droite
3791,974,97403,9,VLODY,Jean Jacques,M.,DVG,Divers gauche
3792,974,97404,1,DIJOUX,Martine,Mme,DSV,Droite souverainiste
3793,974,97404,2,KBIDI,Emeline,Mme,DVG,Divers gauche
3794,974,97404,3,LATCHOUMANIN,Serge,M.,EXG,Extrême gauche
3795,974,97404,4,LORION,David,M.,DVD,Divers droite
3796,974,97404,5,MOULLAN,Imrhane,M.,DVD,Divers droite
3797,974,97404,6,RIVIERE,Jonathan,M.,RN,Rassemblement National
3798,974,97405,1,RAMASSAMY,Jean Dominique,M.,DVD,Divers droite
3799,974,97405,2,PAYET,Jean Yves,M.,EXG,Extrême gauche
3800,974,97405,3,SAUTRON,Dominique,M.,REC,Reconquête !
3801,974,97405,4,DUCHEMANE ARAYE,Alexandrine,Mme,DVG,Divers gauche
3802,974,97405,5,RATENON,Jean-Hugues,M.,DVG,Divers gauche
3803,974,97405,6,LAUP,Jérémy,M.,DIV,Divers
3804,974,97405,7,SETTAMA-VIDON,Léopoldine,Mme,DVC,Divers centre
3805,974,97405,8,CHANE-KAYE-BONE,Anne,Mme,DVG,Divers gauche
3806,974,97405,9,DORO,Joan,M.,RN,Rassemblement National
3807,974,97405,10,LIMBE,Jean Paul,M.,DIV,Divers
3808,974,97405,11,PICARD,Lydia,Mme,DIV,Divers
3809,974,97406,1,RAMASSAMY,Nadia,Mme,ENS,Ensemble ! (Majorité présidentielle)
3810,974,97406,2,LAÏ-KANE-CHEONG,Alexandre,M.,DVG,Divers gauche
3811,974,97406,3,MAILLOT,Frédéric,M.,DVG,Divers gauche
3812,974,97406,4,LECHAT,Mario,M.,DVD,Divers droite
3813,974,97406,5,ADEKALOM,Johny,M.,DVC,Divers centre
3814,974,97406,6,POUNIA,Marie Christine,Mme,REC,Reconquête !
3815,974,97406,7,LEGROS,Valérie,Mme,RN,Rassemblement National
3816,974,97406,8,LOMBARD,Didier,M.,EXG,Extrême gauche
3817,974,97407,1,JUHOOR,Karim,M.,DVG,Divers gauche
3818,974,97407,2,TRONC,Isaline,Mme,DVG,Divers gauche
3819,974,97407,3,ROBERT,Thierry,M.,DVC,Divers centre
3820,974,97407,4,PAYET,Jean-Luc,M.,EXG,Extrême gauche
3821,974,97407,5,MOUKINE,Sandrine,Mme,DSV,Droite souverainiste
3822,974,97407,6,DE BOISVILLIERS,Nathalie,Mme,REC,Reconquête !
3823,974,97407,7,CATHERINE,Richelain,M.,DIV,Divers
3824,974,97407,8,HAMILCARO,Cyrille,M.,DVD,Divers droite
3825,974,97407,9,GAILLARD,Perceval,M.,UG,Union de la gauche
3826,974,97407,10,POUDROUX,Jean-Luc,M.,RN,Rassemblement National
